DetectorID,Location,Latitude,Longitude,Set
101_1_35,I-15 NB Sahara On-Ramp between Sahara Avenue and I-15 NB,36.144341,-115.169617,UNLV
103_1_40,I-15 SB Sahara WB Off-Ramp between I-15 SB and Sahara Avenue,36.147755,-115.169441,UNLV
103_2_40,I-15 SB Sahara WB Off-Ramp between I-15 SB and Sahara Avenue,36.145626,-115.171677,UNLV
109_1_37,I-15 SB Boulder Off-Ramp between Sahara Avenue and I-15 SB,36.142616,-115.174263,UNLV
118_1_541,I-15 SB MLK/Charleston Off-Ramp between I-15 SB and Martin Luther King Boulevard,36.161842,-115.161362,UNLV
125_2_49,I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB,36.169209,-115.157127,UNLV
126_1_49,I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard,36.173618,-115.156914,UNLV
126_2_80,I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard,36.17477,-115.155373,UNLV
127_1_531,I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB,36.173687,-115.16571,UNLV
138_2_55,I-15 NB between I-15 NB Wash./D-Street Off-Ramp and I-15 NB Washington/D-St On-Ramp,36.182571,-115.143311,UNLV
141_2_55,I-15 NB Washington/D-St On-Ramp between Washington Avenue and I-15 NB,36.181763,-115.142799,UNLV
142_1_55,I-15 SB between I-15 SB Washington Off-Ramp and I-15 SB Washington On-Ramp,36.182632,-115.145798,UNLV
144_1_54,I-15 SB Washington On-Ramp between D Street and I-15 SB,36.180584,-115.147949,UNLV
15_1_6,I-215 EB to I-15 SB Ramp between CC-215 EB and I-15 SB,36.064865,-115.18837,UNLV
15_2_6,I-215 EB to I-15 SB Ramp between CC-215 EB and I-15 SB,36.063759,-115.185806,UNLV
154_2_240,I-15 NB  Lake Mead EB On-Ramp between Lake Mead Boulevard and I-15 NB,36.197895,-115.135925,UNLV
157_1_240,I-15 SB  Lake Mead Off-Ramp between I-15 SB and Lake Mead Boulevard,36.1982,-115.138496,UNLV
158_2_74,I-15 SB  Lake Mead WB On-Ramp between Lake Mead Boulevard and I-15 SB,36.196987,-115.13945,UNLV
160_1_241,I-15 NB between I-15 NB  Lake Mead On-Ramp and Cartier Avenue,36.204491,-115.132385,UNLV
162_2_197,US-95 SB between US-95 SB Rancho Off-Ramp and US-95 SB Rancho On-Ramp,36.174603,-115.172432,UNLV
167_1_531,US-95 NB between I-15 NB to US-95 NB Ramp and US-95 NB Rancho Off-Ramp,36.176277,-115.163689,UNLV
167_2_210,US-95 NB between I-15 NB to US-95 NB Ramp and US-95 NB Rancho Off-Ramp,36.176769,-115.169472,UNLV
169_3_210,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB,36.173851,-115.16571,UNLV
171_3_51,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB,36.169277,-115.159813,UNLV
196_2_69,I-515 SB LV Blvd On-Ramp between Las Vegas Boulevard and I-515 SB,36.171738,-115.137131,UNLV
199_1_70,I-515 NB LV Blvd On-Ramp between Las Vegas Boulevard and I-515 NB,36.175346,-115.139046,UNLV
201_1_39,I-515 NB Casino Ctr On-Ramp between Casino Center Boulevard and I-515 NB,36.176243,-115.142738,UNLV
206_1_64,I-515 SB Eastern On-Ramp between Eastern Avenue and I-515 SB,36.166504,-115.114067,UNLV
209_1_65,I-515 NB Eastern On-Ramp between Eastern Avenue and I-515 NB,36.169464,-115.118057,UNLV
212_2_364,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp,36.149048,-115.091827,UNLV
212_4_363,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp,36.139385,-115.091408,UNLV
213_1_59,I-515 SB Charleston Off-Ramp between I-515 SB and Charleston Boulevard,36.161819,-115.092949,UNLV
215_2_362,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp,36.142105,-115.090027,UNLV
215_4_366,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp,36.155361,-115.090256,UNLV
216_1_365,I-515 NB Charleston Off-Ramp between I-515 NB and Charleston Boulevard,36.156006,-115.089897,UNLV
217_2_60,I-515 NB Charleston On-Ramp between Charleston Boulevard and I-515 NB,36.162399,-115.090721,UNLV
218_2_360,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp,36.127853,-115.088669,UNLV
218_4_173,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp,36.11861,-115.084091,UNLV
219_3_360,I-515 NB between I-515 NB Boulder Hwy Off-Ramp and I-515 NB Charleston Off-Ramp,36.127701,-115.086197,UNLV
219_4_361,I-515 NB between I-515 NB Boulder Hwy Off-Ramp and I-515 NB Charleston Off-Ramp,36.132233,-115.088356,UNLV
220_2_286,I-515 SB between I-15 SB Boulder Off-Ramp and I-515 SB Boulder Hwy Off-Ramp,36.10397,-115.082916,UNLV
221_1_279,I-515 SB Boulder Hwy Off-Ramp between I-515 SB and Boulder Highway,36.140057,-115.091942,UNLV
221_2_279,I-515 SB Boulder Hwy Off-Ramp between I-515 SB and Boulder Highway,36.13858,-115.092308,UNLV
222_1_172,I-515 NB between Desert Inn Road and Boulder Highway,36.103977,-115.081161,UNLV
23_1_8,I-215 WB/I-15 NB between CC-215 WB and I-15 NB,36.06591,-115.179008,UNLV
23_2_8,I-215 WB/I-15 NB between CC-215 WB and I-15 NB,36.067322,-115.179626,UNLV
25_1_547,CC-215 WB between Gilespie Street and Las Vegas Boulevard,36.064232,-115.159561,UNLV
30_2_8,I-215 EB to I-15 NB Ramp between CC-215 EB and I-15 NB,36.061832,-115.179199,UNLV
360_1_171,I-515 SB between Viking Road and Boulder Highway,36.097572,-115.080788,UNLV
360_2_288,I-515 SB between Viking Road and Boulder Highway,36.092979,-115.075981,UNLV
360_3_165,I-515 SB between Viking Road and Boulder Highway,36.089886,-115.071121,UNLV
361_1_166,I-515 SB between Dell Santos Drive and Viking Road,36.087826,-115.06662,UNLV
361_2_293,I-515 SB between Dell Santos Drive and Viking Road,36.086498,-115.060921,UNLV
361_3_290,I-515 SB between Dell Santos Drive and Viking Road,36.084278,-115.05442,UNLV
362_1_132,I-515 SB between Mountain Vista Street and Dell Santos Drive,36.081184,-115.048042,UNLV
362_2_131,I-515 SB between Mountain Vista Street and Dell Santos Drive,36.077934,-115.04303,UNLV
362_3_129,I-515 SB between Mountain Vista Street and Dell Santos Drive,36.073479,-115.039276,UNLV
363_2_161,I-515 SB between Denning Street and Mountain Vista Street,36.065548,-115.034241,UNLV
363_3_292,I-515 SB between Denning Street and Mountain Vista Street,36.086418,-115.060532,UNLV
364_2_127,I-515 SB between Stephanie Street and Denning Street,36.05344,-115.027077,UNLV
364_3_126,I-515 SB between Stephanie Street and Denning Street,36.048111,-115.024529,UNLV
365_1_107,I-515 SB between Sunset Road and Stephanie Street,36.076054,-115.041451,UNLV
366_1_103,I-515 SB between Warm Springs Road and Sunset Road,36.032513,-115.015388,UNLV
367_1_367,I-515 SB between American Pacific Drive and Warm Springs Road,36.028099,-115.010185,UNLV
367_2_368,I-515 SB between American Pacific Drive and Warm Springs Road,36.025566,-115.007309,UNLV
367_3_371,I-515 SB between American Pacific Drive and Warm Springs Road,36.022102,-115.00325,UNLV
368_1_372,I-515 SB between Waterwheel Falls Drive and American Pacific Drive,36.019341,-115.000038,UNLV
368_2_379,I-515 SB between Waterwheel Falls Drive and American Pacific Drive,36.016884,-114.996819,UNLV
368_3_381,I-515 SB between Waterwheel Falls Drive and American Pacific Drive,36.013451,-114.992943,UNLV
369_1_382,I-515 SB between Long Acres Drive and Waterwheel Falls Drive,36.024338,-115.006241,UNLV
369_2_385,I-515 SB between Long Acres Drive and Waterwheel Falls Drive,36.021805,-115.003365,UNLV
370_2_388,I-515 SB between Appian Drive and Long Acres Drive,36.004002,-114.984612,UNLV
370_3_391,I-515 SB between Appian Drive and Long Acres Drive,36.001171,-114.979691,UNLV
371_1_392,I-515 SB between College Drive and Appian Drive,35.999531,-114.973412,UNLV
371_2_393,I-515 SB between College Drive and Appian Drive,35.999123,-114.964691,UNLV
371_3_397,I-515 SB between College Drive and Appian Drive,35.999153,-114.954269,UNLV
371_4_402,I-515 SB between College Drive and Appian Drive,35.998596,-114.946289,UNLV
372_1_404,I-515 SB between Bitterroot Street and College Drive,35.996883,-114.940163,UNLV
372_2_405,I-515 SB between Bitterroot Street and College Drive,35.994881,-114.93515,UNLV
372_3_408,I-515 SB between Bitterroot Street and College Drive,35.992817,-114.931015,UNLV
374_2_169,I-515 NB between Boulder Highway and Viking Road,36.094456,-115.075203,UNLV
374_3_287,I-515 NB between Boulder Highway and Viking Road,36.098076,-115.079071,UNLV
375_2_164,I-515 NB between Viking Road and Dell Santos Drive,36.088257,-115.059525,UNLV
375_3_166,I-515 NB between Viking Road and Dell Santos Drive,36.089645,-115.066162,UNLV
376_1_134,I-515 NB between Dell Santos Drive and Mountain Vista Street,36.074402,-115.037216,UNLV
376_3_291,I-515 NB between Dell Santos Drive and Mountain Vista Street,36.083057,-115.047173,UNLV
377_1_162,I-515 NB between Mountain Vista Street and Denning Street,36.065586,-115.031738,UNLV
378_1_301,I-515 NB between Denning Street and Stephanie Street,36.048882,-115.022644,UNLV
378_2_299,I-515 NB between Denning Street and Stephanie Street,36.054028,-115.024994,UNLV
378_3_298,I-515 NB between Denning Street and Stephanie Street,36.058208,-115.027351,UNLV
378_4_130,I-515 NB between Denning Street and Stephanie Street,36.061897,-115.029564,UNLV
379_1_109,I-515 NB between Stephanie Street and Sunset Road,36.040874,-115.019302,UNLV
379_2_302,I-515 NB between Stephanie Street and Sunset Road,36.044582,-115.020988,UNLV
38_1_91,I-15 NB to I-215 WB Ramp between I-15 NB and CC-215 WB,36.059437,-115.178856,UNLV
380_2_105,I-515 NB between Sunset Road and Warm Springs Road,36.037346,-115.016899,UNLV
381_3_102,I-515 NB between Warm Springs Road and American Pacific Drive,36.032516,-115.01165,UNLV
382_1_373,I-515 NB between American Pacific Drive and Waterwheel Falls Drive,36.023708,-115.001656,UNLV
382_2_370,I-515 NB between American Pacific Drive and Waterwheel Falls Drive,36.02631,-115.004547,UNLV
382_3_369,I-515 NB between American Pacific Drive and Waterwheel Falls Drive,36.028038,-115.006569,UNLV
384_1_384,I-515 NB between Long Acres Drive and Appian Drive,36.002712,-114.978539,UNLV
384_2_383,I-515 NB between Long Acres Drive and Appian Drive,36.004982,-114.982529,UNLV
385_1_390,I-515 NB between Appian Drive and College Drive,36.000961,-114.963165,UNLV
385_2_389,I-515 NB between Appian Drive and College Drive,36.0009,-114.967476,UNLV
385_3_387,I-515 NB between Appian Drive and College Drive,36.001297,-114.9729,UNLV
386_1_399,I-515 NB between College Drive and Bitterroot Street,35.999386,-114.94239,UNLV
386_2_398,I-515 NB between College Drive and Bitterroot Street,36.000839,-114.949318,UNLV
386_3_396,I-515 NB between College Drive and Bitterroot Street,36.000996,-114.954262,UNLV
386_4_395,I-515 NB between College Drive and Bitterroot Street,36.000988,-114.95845,UNLV
387_1_407,I-515 NB between Bitterroot Street and Wagon Wheel Drive,35.991123,-114.926819,UNLV
387_2_406,I-515 NB between Bitterroot Street and Wagon Wheel Drive,35.993885,-114.930038,UNLV
387_4_400,I-515 NB between Bitterroot Street and Wagon Wheel Drive,35.997265,-114.936111,UNLV
389_1_248,I-15 SB between Alexander Road and Colton Avenue,36.231594,-115.113953,UNLV
39_1_8,I-15 NB between I-215 EB to I-15 NB Ramp and I-215 WB to I-15 NB Ramp,36.063324,-115.17981,UNLV
391_1_415,I-15 SB between Smiley Road and Craig Road,36.24913,-115.092682,UNLV
391_3_410,I-15 SB between Smiley Road and Craig Road,36.242081,-115.101257,UNLV
392_1_421,I-15 SB between Ann Road and Smiley Road,36.257927,-115.08165,UNLV
392_2_420,I-15 SB between Ann Road and Smiley Road,36.255314,-115.084908,UNLV
392_3_416,I-15 SB between Ann Road and Smiley Road,36.252354,-115.088608,UNLV
393_1_432,I-15 SB between Clark County 215 and Ann Road,36.269493,-115.064095,UNLV
393_2_429,I-15 SB between Clark County 215 and Ann Road,36.267639,-115.068398,UNLV
393_3_428,I-15 SB between Clark County 215 and Ann Road,36.264824,-115.073067,UNLV
393_4_426,I-15 SB between Clark County 215 and Ann Road,36.261211,-115.077705,UNLV
394_1_434,I-15 SB between Centennial Parkway and Clark County 215,36.275742,-115.047493,UNLV
394_2_433,I-15 SB between Centennial Parkway and Clark County 215,36.272144,-115.057076,UNLV
395_1_445,I-15 SB between Speedway Boulevard and Centennial Parkway,36.283051,-115.027939,UNLV
395_2_442,I-15 SB between Speedway Boulevard and Centennial Parkway,36.2817,-115.031487,UNLV
395_3_441,I-15 SB between Speedway Boulevard and Centennial Parkway,36.280075,-115.035942,UNLV
395_4_440,I-15 SB between Speedway Boulevard and Centennial Parkway,36.278439,-115.040359,UNLV
398_3_411,I-15 NB between Alexander Road and Craig Road,36.240891,-115.099449,UNLV
399_1_413,I-15 NB between Craig Road and Smiley Road,36.244354,-115.095238,UNLV
399_2_414,I-15 NB between Craig Road and Smiley Road,36.247791,-115.091049,UNLV
399_3_417,I-15 NB between Craig Road and Smiley Road,36.251041,-115.087006,UNLV
399_4_418,I-15 NB between Craig Road and Smiley Road,36.254612,-115.082558,UNLV
400_1_423,I-15 NB between Smiley Road and Ann Road,36.258663,-115.077408,UNLV
400_2_425,I-15 NB between Smiley Road and Ann Road,36.262596,-115.072289,UNLV
400_3_430,I-15 NB between Smiley Road and Ann Road,36.265778,-115.067024,UNLV
400_4_431,I-15 NB between Smiley Road and Ann Road,36.267986,-115.062225,UNLV
401_1_435,I-15 NB between Ann Road and Clark County 215,36.269333,-115.058411,UNLV
401_2_437,I-15 NB between Ann Road and Clark County 215,36.270817,-115.054756,UNLV
402_1_438,I-15 NB between Clark County 215 and Centennial Parkway,36.273136,-115.048553,UNLV
402_2_439,I-15 NB between Clark County 215 and Centennial Parkway,36.275883,-115.040825,UNLV
402_3_443,I-15 NB between Clark County 215 and Centennial Parkway,36.278515,-115.033981,UNLV
402_4_444,I-15 NB between Clark County 215 and Centennial Parkway,36.28088,-115.027916,UNLV
403_1_447,I-15 NB between Centennial Parkway and Speedway Boulevard,36.283272,-115.021881,UNLV
403_2_533,I-15 NB between Centennial Parkway and Speedway Boulevard,36.285534,-115.015923,UNLV
403_4_535,I-15 NB between Centennial Parkway and Speedway Boulevard,36.302502,-114.972603,UNLV
403_5_536,I-15 NB between Centennial Parkway and Speedway Boulevard,36.309502,-114.954399,UNLV
407_2_233,US-95 SB between Lake Mead Boulevard and Half Moon Bay,36.200954,-115.24556,UNLV
409_3_409,US-95 SB between Cheyenne Avenue and Craig Road,36.224815,-115.247787,UNLV
412_1_518,US-95 SB between Ann Road and Clark County 215,36.273361,-115.264442,UNLV
412_2_517,US-95 SB between Ann Road and Clark County 215,36.269363,-115.260788,UNLV
412_3_515,US-95 SB between Ann Road and Clark County 215,36.265221,-115.257004,UNLV
420_2_160,US-95 NB between Ann Road and Rancho Drive,36.25856,-115.2481,UNLV
421_1_505,US-95 NB between Clark County 215 and Ann Road,36.266251,-115.254883,UNLV
421_2_506,US-95 NB between Clark County 215 and Ann Road,36.270187,-115.258492,UNLV
421_3_507,US-95 NB between Clark County 215 and Ann Road,36.273968,-115.261932,UNLV
422_3_101,I-15 SB between Roban Street and Saint Rose Parkway,35.951103,-115.182327,UNLV
429_2_100,I-15 SB between 5.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road,35.869686,-115.245781,UNLV
43_1_86,I-15 SB to I-215 WB/EB Ramp between I-15 SB and CC-215 WB,36.068642,-115.182701,UNLV
435_2_99,I-15 SB between 11.71 Miles south of Sloan Road and 10.71 Miles south of Sloan Road,35.802666,-115.313507,UNLV
437_1_101,I-15 NB between Saint Rose Parkway and Roban Street,35.938343,-115.18679,UNLV
437_2_328,I-15 NB between Saint Rose Parkway and Roban Street,35.954544,-115.18103,UNLV
437_3_327,I-15 NB between Saint Rose Parkway and Roban Street,35.960361,-115.179787,UNLV
44_1_86,I-15 SB to I-215 EB/WB Ramp between I-15 SB and CC-215 EB,36.067554,-115.182549,UNLV
44_2_89,I-15 SB to I-215 EB/WB Ramp between I-15 SB and CC-215 EB,36.064659,-115.183319,UNLV
444_2_100,I-15 NB between 4.71 Miles south of Sloan Road and 5.71 Miles south of Sloan Road,35.868797,-115.24379,UNLV
452_1_508,US-95 NB between 11.71 Miles south of Sloan Road and 12.71 Miles south of Sloan Road,36.276402,-115.265198,UNLV
453_1_509,US-95 NB between CC-215 EB and Decatur Road,36.2812,-115.2696,UNLV
453_2_510,US-95 NB between CC-215 EB and Decatur Road,36.2854,-115.273598,UNLV
453_3_511,US-95 NB between CC-215 EB and Decatur Road,36.289101,-115.276901,UNLV
454_1_512,US-95 NB between CC-215 EB and Decatur Road,36.292801,-115.280403,UNLV
454_2_513,US-95 NB between CC-215 EB and Decatur Road,36.2962,-115.283501,UNLV
