DetectorID,Location
745.2.554,I-215 SB Ann On Ramp between I-215 SB Ann On Ramp and I-215 SB
710.2.740,I-11 NB between Hoover Dam Bridge Int/93 and Buchanan Blvd
390.2.250,I-15 SB between Craig Road and Alexander Road
491.1.237,CC-215 WB between Green Valley Pkwy and Carnegie Dr
496.1.543,215 EB to AC NB between CC-215 EB and AC NB
99.1.35,I-15 NB between I-15 NB Sahara Off-Ramp and I-15 NB Sahara On-Ramp
484.1.255,CC-215 EB between Valle Verde Dr and Arroyo Grande Blvd
525.2.142,I-15 NB CD between Warm Springs Road and Robindale Road
528.2.87,I-15 SB CD between Clark County 215 and Sunset Road
392.2.420,I-15 SB between Ann Road and Smiley Road
408.3.226,US-95 SB between Half Moon Bay and Cheyenne Avenue
517.3.9,I 15 Exp NB between Clark County 215 and Warm Springs Road
69.1.52,I-15 SB between I-15 SB Tropicana On-Ramp and I-15 SB Russell Off-Ramp
171.1.196,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB
386.3.396,I-515 NB between College Drive and Bitterroot Street
49.2.12,I-15 NB between I-15 NB Russell Off-Ramp and I-15 NB Russell On-Ramp
579.1.437,I-15 NB 215 CC On Ramp between 215 CC and I-15 NB
439.3.332,I-15 NB between Sloan Road and 0.71 Miles south of Sloan Road
401.1.435,I-15 NB between Ann Road and Clark County 215
136.2.47,I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp
361.3.290,I-515 SB between Dell Santos Drive and Viking Road
669.2.553,CC-215 EB between Cheyenne Avenue and Alexander Road
611.2.469,CC-215 EB between Tropicana Avenue and Russell Road
484.2.256,CC-215 EB between Arroyo Grande Blvd and Stephanie Street
624.1.483,I-215 SB Sahara OnRamp between Flamingo Road and Tropicana Avenue
720.2.725,I-11 NB US 93 Off Ramp between I-11 NB and RR Pass Off Ramp
659.2.551,CC-215 WB between Sunset Road and Russell Road
95.1.29,I-15 SB Spring Mtn On-Ramp between Spring Mountain Road and I-15 SB
357.1.312,I-15 NB between Pyle Avenue and Erie Avenue
365.2.304,I-515 SB between Sunset Road and Stephanie Street
515.3.150,I 15 Exp NB between Blue Diamond Road and Wigwam Avenue
127.2.531,I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB
215.3.277,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp
367.1.367,I-515 SB between American Pacific Drive and Warm Springs Road
362.2.131,I-515 SB between Mountain Vista Street and Dell Santos Drive
162.2.197,US-95 SB between US-95 SB Rancho Off-Ramp and US-95 SB Rancho On-Ramp
645.1.478,I-215 NB TownCenter OffRamp between I-515 SB to Lake Mead Dr and Flamingo Road
213.1.59,I-515 SB Charleston Off-Ramp between I-515 SB and Charleston Boulevard
681.1.459,I-215 NB Aliante OffRamp between I-515 SB College Off Ramp and I-515 SB College On Ramp
126.1.759,I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard
518.2.94,I 15 Exp SB between Warm Springs Road and Robindale Road
420.1.231,US-95 NB between Ann Road and Rancho Drive
410.3.228,US-95 SB between Craig Road and Rancho Drive
419.1.234,US-95 NB between Rancho Drive and Craig Road
222.1.172,I-515 NB between Desert Inn Road and Boulder Highway
355.3.155,I-15 NB between Wigwam Avenue and Serene Avenue
483.2.254,CC-215 EB between Grand Legacy Dr and Valle Verde Dr
496.2.266,215 EB to AC NB between CC-215 EB and AC NB
619.1.473,I-215 SB Tropicana OffRamp between I-515 SB College Off Ramp and I-515 SB College On Ramp
427.1.339,I-15 SB between 3.71 Miles south of Sloan Road and 2.71 Miles south of Sloan Road
76.2.26,I-15 SB between I-15 SB Flamingo WB Off-Ramp and I-15 SB Flamingo EB Off-Ramp
29.2.5,I-15 SB to I-215 WB/EB Ramp between I-15 SB and CC-215 WB
408.2.220,US-95 SB between Half Moon Bay and Cheyenne Avenue
715.1.748,I-11 NB between US-93 and Paradise Hills Dr
706.5.736,I-11 SB between Buchanan Blvd and Hoover Dam Bridge Int/93
123.2.50,I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp
600.1.500,CC-215 WB between Lake Mead Boulevard and Cheyenne Avenue
